col1,col2,col3,col4,Lon,Lat,col7,col8,col9,col10,col11
25,莞深高速,11,石大路站,113.8729,22.9509,,,,,
25,莞深高速,13,中心站,113.8361,22.97469,,,,,
25,莞深高速,14,上屯站,113.8255,22.9949,,,,,
25,莞深高速,15,东莞站,113.81154,23.03204,,,,,
25,莞深高速,17,莞龙站,113.80367,23.07626,,,,,
25,莞深高速,18,石碣站,113.7892,23.1162,,,,,
25,莞深高速,19,林村站,113.7705,23.1845,,,,,
25,莞深高速,20,田心站,116.53112,23.105663,,,,,
25,莞深高速,21,迎宾站,114.056977,22.811305,,,,,
26,中江高速,3,东升,113.307,22.6045,,,,,
26,中江高速,4,小榄,113.2632923126,22.5846920223,,,,,
26,中江高速,5,横栏,113.2165145874,22.5819579192,,,,,
26,中江高速,11,港口,113.3922,22.5938,,,,,
26,中江高速,17,外海A,113.1601,22.5724,,,,,
26,中江高速,18,外海B,113.1439,22.5662,,,,,
27,南光高速,3,西丽,113.9273428917,22.6031854174,,,,,
27,南光高速,5,白芒,113.9275145531,22.6070284036,,,,,
27,南光高速,7,宝石,113.9162921906,22.6239738998,,,,,
27,南光高速,11,洲石南,113.8913154602,22.6693430762,,,,,
27,南光高速,12,洲石北,113.8873887062,22.6825292074,,,,,
27,南光高速,13,塘明,113.8823676109,22.7393378101,,,,,
27,南光高速,15,下村,113.8732159138,22.7967360439,,,,,
28,广珠西线,3,南丫,113.2218,23.0505,,,,,
28,广珠西线,5,石洲,113.2202,23.0096,,,,,
28,广珠西线,7,碧江,113.2509,22.9452,,,,,
28,广珠西线,9,三洲,113.2853,22.865,,,,,
28,广珠西线,11,顺德,113.300242424,22.8392003288,,,,,
28,广珠西线,13,容桂,113.3072161675,22.7512705566,,,,,
28,广珠西线,15,南头,113.3047056198,22.7220404048,,,,,
28,广珠西线,17,东阜,113.302731514,22.6663334511,,,,,
28,广珠西线,19,中山西,113.3119,22.5685,,,,,
28,广珠西线,21,沙溪,113.2813,22.5332,,,,,
28,广珠西线,23,中山南,113.3202,22.4668,,,,,
28,广珠西线,25,板芙,113.3519339561,22.3827777182,,,,,
28,广珠西线,27,三乡,113.3958,22.33918,,,,,
28,广珠西线,29,月环,113.41964,22.30359,,,,,
29,北二环,1,龙山,113.2003,23.3099,,,,,
29,北二环,2,水沥,113.2308,23.3181,,,,,
29,北二环,3,北二蚌湖,113.2680988312,23.306157863,,,,,
29,北二环,4,北村,113.293762207,23.30347771,,,,,
29,北二环,5,石湖,113.3253479004,23.2943923778,,,,,
29,北二环,8,长平,113.4754550457,23.2193112069,,,,,
29,北二环,9,萝岗,-1,-1,,,,,
29,北二环,10,火村,-1,-1,,,,,
30,华南快速,2,华快土华,113.3379650116,23.0697428478,,,,,
30,华南快速,4,华快新洲,113.3456468582,23.1014442341,,,,,
30,华南快速,5,黄埔,113.3465909958,23.127770832,,,,,
30,华南快速,6,中山站,113.3481788635,23.1377159686,,,,,
30,华南快速,7,华快广园,113.3543050289,23.1490809357,,,,,
30,华南快速,8,华快岑村,113.3585,23.1609,,,,,
30,华南快速,9,华快广汕,113.348792,23.167538,,,,,
30,华南快速,10,龙洞,113.36488,23.1979,,,,,
30,华南快速,11,春岗,113.36264,23.21107,,,,,
30,华南快速,12,太和,113.3623,23.2787,,,,,
30,华南快速,13,帽峰山,-1,-1,,,,,
30,华南快速,14,花城,113.3466768265,23.1196799985,,,,,
31,华南三期,2,隧华朝阳,-1,-1,,,,,
31,华南三期,5,隧华平沙,113.25713,23.23767,,,,,
31,华南三期,6,嘉禾,113.27204,23.23158,,,,,
31,华南三期,7,永泰,113.2978,23.22376,,,,,
31,华南三期,8,同和,113.32411,23.21299,,,,,
31,华南三期,9,沙太,113.33659,23.21353,,,,,
32,北环高速,1,沙贝,113.1936407089,23.1582550759,,,,,
32,北环高速,2,广清东,113.2203984261,23.1665605835,,,,,
32,北环高速,3,广清西,113.215034008,23.1662646717,,,,,
32,北环高速,4,广花,113.2526278496,23.1648048303,,,,,
32,北环高速,5,北环广园,113.2722616196,23.1622599337,,,,,
32,北环高速,6,广从,113.3222150803,23.1691251255,,,,,
32,北环高速,7,北环广汕,113.3418703079,23.1703876512,,,,,
32,北环高速,8,广氮,-1,-1,,,,,
32,北环高速,9,北浔峰洲,113.1925463676,23.1468316958,,,,,
32,北环高速,15,科韵路,113.3739280701,23.1544868492,,1,61,1,60
34,机场高速,1,三元里,113.257043,23.158038,,,,,
34,机场高速,2,新市,23.1823,113.2543,,,,,
34,机场高速,3,黄石南,113.2581210136,23.2018483115,,,,,
34,机场高速,4,黄石北,113.2583785057,23.2127739814,,,,,
34,机场高速,5,平沙南,113.2566,23.2416,,,,,
34,机场高速,6,平沙,113.25723,23.24357,,,,,
34,机场高速,7,机场蚌湖,113.2683,23.3107,,,,,
34,机场高速,8,人和,113.2757163048,23.3470629035,,,,,
34,机场高速,9,太成,113.2686567307,23.3509241929,,,,,
34,机场高速,10,机场站,113.277733326,23.3524213974,,,,,
34,机场高速,11,东湖,113.2754480839,23.4053445934,,,,,
34,机场高速,12,花山,113.2863378525,23.4330779853,,,,,
34,机场高速,13,金谷南,113.3545732498,23.4566522081,,,,,
34,机场高速,14,金谷北,113.3545732498,23.4566522081,,,,,
34,机场高速,15,山前南,113.3813095093,23.4587977949,,,,,
34,机场高速,16,山前北,113.3813095093,23.4587977949,,,,,
34,机场高速,17,机场北,113.4236454964,23.4488963102,,,,,
34,机场高速,18,白云新城,113.2541942596,23.1807438578,,,,,
35,深汕西,4,坑梓,114.359984,22.741428,,,,,
35,深汕西,5,淡水,114.450929,22.807201,,,,,
35,深汕西,7,沙田,114.556955,22.869387,,,,,
35,深汕西,11,白云,114.770645,22.887811,,,,,
35,深汕西,13,白云仔,114.9396,22.83166,,,,,
35,深汕西,15,后门,115.129765,22.815044,,,,,
35,深汕西,17,长沙湾,115.277908,22.821022,,,,,
35,深汕西,19,埔边,115.34814,22.839945,,,,,
36,惠河高速,5,平南,114.3378766,23.01629493,,,,,
36,惠河高速,7,惠州,114.3382449,23.09469537,,,,,
36,惠河高速,13,小金口,114.389072,23.2051296,,,,,
36,惠河高速,15,四角楼,114.4213238,23.22770309,,,,,
36,惠河高速,17,泰美,114.4744376,23.29436508,,,,,
36,惠河高速,19,杨村,114.5003112,23.4252527,,,,,
36,惠河高速,21,麻陂,114.5160557,23.48492122,,,,,
36,惠河高速,23,石坝,114.5430501,23.53472589,,,,,
36,惠河高速,25,埔前,114.6276733,23.60445167,,,,,
37,虎门大桥,2,南沙A站,113.5854,22.774,,,,,
37,虎门大桥,4,南沙B站,113.5767,22.7679,,,,,
37,虎门大桥,6,威远站,113.6323,22.8064,,,,,
37,虎门大桥,8,太平立交,113.7003,22.8259,,,,,
38,海湾大桥,1,汕头站,116.7586017,23.35540833,,,,,
38,海湾大桥,2,海湾站,116.7516356,23.34853419,,,,,
38,海湾大桥,3,澳头站,116.73353,23.31509833,,,,,
39,河龙高速,3,热水,114.7906,23.8514,,,,,
39,河龙高速,5,义合,114.85862,23.834897,,,,,
39,河龙高速,7,黄田,114.9803,23.8734,,,,,
39,河龙高速,9,蓝口,115.0869,23.951,,,,,
39,河龙高速,11,柳城,115.0984811783,23.9809984458,,,,,
40,南部快速,1,仑头,113.361,23.075,,,,,
40,南部快速,2,大学城,113.371,23.047,,,,,
40,南部快速,3,七星岗,113.382,22.99,,,,,
40,南部快速,4,亚运城,113.419,22.937,,,,,
40,南部快速,5,市南路,113.417,22.896,,,,,
40,南部快速,6,鱼窝头,113.421,22.862,,,,,
40,南部快速,7,细沥,113.4428930283,22.8401099916,,,,,
40,南部快速,8,黄阁,113.4355115891,22.8403077435,,,,,
40,南部快速,9,庙贝沙,113.4448671341,22.7920873096,,,,,
40,南部快速,10,横沥,113.4648227692,22.7631231156,,,,,
40,南部快速,11,苏十顷,113.514175415,22.7142420034,,,,,
40,南部快速,12,福安,113.542,22.695,,,,,
40,南部快速,13,沥心沙,113.5676050186,22.6754413245,,,,,
40,南部快速,14,新龙,113.6300683022,22.6321339315,,,,,
40,南部快速,15,新龙集,113.6300683022,22.6321339315,,,,,
40,南部快速,16,新龙钢,113.6300683022,22.6321339315,,,,,
41,东新高速,3,东沙主线,113.255537,23.056489,,,,,
41,东新高速,5,东沙匝道,113.2505,23.0532,,,,,
41,东新高速,7,南浦,113.2603,23.0342,,,,,
41,东新高速,9,新客站,113.2797,22.9936,,,,,
41,东新高速,11,禺山,113.2935,22.9429,,,,,
41,东新高速,13,沙湾,113.2984,22.8904,,,,,
41,东新高速,15,五沙,113.348866,22.8184,,,,,
41,东新高速,17,新联工业,113.459,22.7639,,,,,
42,番禺大桥,1,番禺大桥,113.3299324,23.02540694,,,,,
43,惠深沿海,3,稔山,114.7875306,22.8733818,,,,,
43,惠深沿海,5,小径湾,114.6774263,22.8063635,,,,,
43,惠深沿海,7,霞涌,114.6381358,22.77839809,,,,,
43,惠深沿海,9,大亚湾,114.5559632,22.75288337,,,,,
43,惠深沿海,11,澳头,114.5061558,22.74588738,,,,,
43,惠深沿海,13,小桂,114.5086068,22.68250118,,,,,
44,黄埔大桥,1,笔村,113.4969417,23.12123833,,,,,
44,黄埔大桥,2,官田东,113.4963917,23.09507544,,,,,
44,黄埔大桥,3,草堂,113.4658098221,23.0351312486,,,,,
44,黄埔大桥,4,化龙,113.4406022,23.01418761,,,,,
