gid,osm_id,source,x1,y1,target,x2,y2,length_m
362417,332158301,299536,113.7219373,23.5785198,263239,113.7194884,23.5760643,470.559042322205
362418,332158301,263239,113.7194884,23.5760643,321911,113.7181502,23.5778941,650.517860844084
362420,332158303,293709,115.7558266,25.0579762,322280,115.7554412,25.0330248,2809.75907668087
362422,332158306,316912,115.719111,24.8190781,278155,115.7199134,24.8219832,331.956367690916
362423,332158307,316041,115.4553289,25.1986276,333193,115.4589636,25.1987749,367.231002589124
362424,332158308,318168,115.5036772,25.1991173,329116,115.5062871,25.1992457,264.236529199871
362425,332158309,330073,115.5057005,25.1995434,294100,115.5033147,25.1993983,241.54017718351
362426,332158310,298490,115.2819547,25.1604737,293600,115.2777947,25.1599446,423.720768256623
362427,332158311,322492,115.5475038,25.1738432,326015,115.5679699,25.1711915,2085.4288976149
362428,332158312,307728,115.7420278,24.8874555,287218,115.7413002,24.8854524,234.163132737626
362429,332158313,329960,115.307407,25.1645414,282044,115.3104197,25.1625737,373.987409292975
362430,332158314,259690,115.3914197,25.1875455,291655,115.3955841,25.1876511,420.20944902788
362431,332158315,317230,115.5950584,25.1654444,266052,115.5899248,25.1684647,616.546222899237
362432,332158316,271099,115.3913448,25.1877316,327699,115.3882446,25.1869005,326.689053730435
362433,332158317,315574,115.7565655,24.9483741,266812,115.756036,24.9505138,243.353246640217
362434,332158319,296039,115.2902171,25.1618368,285679,115.2938265,25.1634126,403.847069660899
362435,332158320,263162,115.3369983,25.1675649,307860,115.334526,25.1662497,289.146165912858
362436,332158322,323528,115.3768634,25.1824208,284735,115.3797692,25.1828165,296.445755812095
362437,332158324,327699,115.3882446,25.1869005,333464,115.3841617,25.184871,468.990494535498
362438,332158325,321741,115.5681736,25.171515,268987,115.5468553,25.1743124,2172.72994601263
362439,332158326,317366,115.7559057,24.9504935,316829,115.756444,24.9483578,242.788660062644
362440,332158328,280581,115.742845,24.8908602,307728,115.7420278,24.8874555,386.208435513065
362441,332158329,291655,115.3955841,25.1876511,261916,115.3991631,25.1876288,360.800757600187
362442,332158330,268592,115.3957474,25.1878604,271099,115.3913448,25.1877316,444.406290062067
362443,332158331,304075,115.3796328,25.1830505,296273,115.377004,25.1826636,268.724637121898
362444,332158333,325774,115.2778428,25.1597728,309230,115.2819476,25.1603556,419.67649238811
362445,332158334,307437,115.7414527,24.8853976,279757,115.7421928,24.8874489,239.520051841457
362446,332158336,326227,115.3104832,25.1626758,272754,115.3074795,25.164638,372.929286706242
362447,332158337,269864,115.7589604,24.9099312,311809,115.758455,24.9082439,194.048364818089
362448,332158341,269506,115.2937628,25.1635142,284636,115.2901718,25.1619462,401.798198260414
362449,332158344,293813,115.4583043,25.1993631,291082,115.4549903,25.1990377,336.748139592484
362450,332158346,311809,115.758455,24.9082439,287402,115.7573447,24.9060594,267.060183633262
362451,332158349,285834,115.3882672,25.1866857,259690,115.3914197,25.1875455,332.980826095282
362452,332158351,308704,115.3814651,25.1833662,285834,115.3882672,25.1866857,778.154946581128
362453,332158353,283363,115.41175,25.1890775,290860,115.4171097,25.1903395,563.500345524195
362454,332158355,303866,115.7574541,24.9059604,272239,115.7585986,24.908184,272.504958657636
362455,332158356,286520,115.7205506,25.1019149,288150,115.7224336,25.1011387,227.742818449789
362456,332158358,325498,115.7559222,25.0603839,293709,115.7558266,25.0579762,267.632882175407
362458,332158359,284384,115.7249776,24.8031324,296956,115.7231715,24.805901,357.71175963334
362459,332158360,280567,115.3345796,25.1644112,315676,115.3363486,25.1670543,355.403367124218
362460,332158361,297461,115.7191279,24.8111339,314523,115.7183826,24.8141044,338.421162498367
362461,332158362,286595,115.2953925,25.1641574,291544,115.3004106,25.1661026,552.88209928692
362463,332158363,292673,115.7559492,25.057983,259891,115.7560368,25.0603817,266.776939793301
362464,332158364,296273,115.377004,25.1826636,294924,115.3714454,25.1824408,561.487421433223
362465,332158365,293600,115.2777947,25.1599446,264475,115.2750093,25.1590602,298.047130165024
362466,332158366,293289,115.333652,25.1658856,268769,115.3293214,25.1648113,454.113736908519
362467,332158367,312769,115.3715408,25.1822251,323528,115.3768634,25.1824208,537.854521159903
362468,332158368,296444,115.2659493,25.1513137,265195,115.2630662,25.1494809,356.45906872483
362469,332158369,260599,115.3410026,25.1705039,263162,115.3369983,25.1675649,518.807565979888
362470,332158370,272239,115.7585986,24.908184,277187,115.7590934,24.9098832,195.181565749257
362471,332158371,325374,113.7188256,23.5814901,325914,113.7179043,23.5794198,256.136781365784
362472,332158372,308818,115.7590023,24.9155755,315963,115.7594951,24.9192066,406.987591137629
362473,332158373,284535,115.7293971,24.8525902,263712,115.7300519,24.8564579,434.919171903337
362474,332158374,332963,115.72308,24.8058269,299601,115.7248536,24.8031043,352.028361528761
362475,332158375,294253,115.7382125,24.8802068,307437,115.7414527,24.8853976,662.162508068904
362476,332158376,335440,115.7299324,24.8564645,328756,115.7292879,24.8526117,432.816701846164
362477,332158377,285526,115.275063,25.1587095,325774,115.2778428,25.1597728,304.177282332151
362478,332158378,285976,115.3003877,25.1662177,305017,115.2953323,25.1642607,556.879999666872
362479,332158379,264475,115.2750093,25.1590602,305375,115.2708411,25.1561806,531.944156708083
362480,332158380,284711,115.2711642,25.1559691,285526,115.275063,25.1587095,502.40761105466
362481,332158382,308252,115.7183363,24.8165365,271921,115.7179666,24.8140535,278.655561788683
362482,332158443,331360,115.75816,25.2659199,323121,115.7575796,25.2643836,179.950128394117
362483,332158445,323787,115.7569681,25.2620393,314454,115.7581815,25.2657179,426.0236562506
362484,332158383,299601,115.7248536,24.8031043,266133,115.7745562,24.7721571,6336.53263201716
362485,332158384,287218,115.7413002,24.8854524,277581,115.7375022,24.8802725,692.887253426524
362486,332158386,277928,115.4168726,25.1906123,300438,115.4102108,25.1899153,686.043974361701
362487,332158387,318789,115.3022416,25.1662247,330315,115.3060415,25.1653118,399.107583194153
362488,332158388,333193,115.4589636,25.1987749,321092,115.5006742,25.1985194,4216.01626145525
362489,332158389,318744,115.5005789,25.1988883,293813,115.4583043,25.1993631,4272.85656886927
362490,332158390,331233,115.7593598,24.9192254,294454,115.7588482,24.9155785,409.285856132802
362491,332158395,296956,115.7231715,24.805901,303309,115.7194395,24.8104402,631.433645762489
362492,332158396,261187,115.7339259,24.8657961,294253,115.7382125,24.8802068,1659.78928356553
362493,332158397,259891,115.7560368,25.0603817,327552,115.7578431,25.0671714,775.155505210804
362494,332158398,328756,115.7292879,24.8526117,316952,115.72606,24.8465866,745.219970700378
362495,332158432,279674,115.7539297,25.2421922,328959,115.7547638,25.2442253,240.387137540841
362496,332158399,301785,115.3316307,25.16509,305974,115.334468,25.1643248,325.487633453772
362497,332158400,284636,115.2901718,25.1619462,272587,115.2826431,25.1605395,778.194621445434
362498,332158401,329116,115.5062871,25.1992457,274177,115.5166465,25.1944434,1183.19884569566
362499,332158402,312160,115.2826586,25.1604236,296039,115.2902171,25.1618368,781.293796932172
362500,332158403,264405,115.726174,24.8465446,284535,115.7293971,24.8525902,746.594150157197
362502,332158406,289467,115.7193381,24.810411,332963,115.72308,24.8058269,636.159147388491
362503,332158407,315676,115.3363486,25.1670543,273175,115.3410925,25.1704181,606.9214569447
362504,332158446,282327,115.7524574,25.1858413,327538,115.7527496,25.183372,275.157606233609
362505,332158447,304452,115.7566218,25.2577888,323787,115.7569681,25.2620393,473.236684075532
362506,332158409,274685,115.7220902,25.1021224,317230,115.5950584,25.1654444,15963.5426206956
362507,332158422,263239,113.7194884,23.5760643,328122,113.7186236,23.5792532,400.864265516659
362508,332158423,260863,115.5190711,25.1930614,297197,115.5293597,25.1816715,1684.74948897675
362509,332158410,277270,115.5949748,25.1652361,286520,115.7205506,25.1019149,15809.2843545296
362510,332158410,286520,115.7205506,25.1019149,310959,115.7220921,25.1020131,155.86595177583
362511,332158411,300438,115.4102108,25.1899153,316171,115.4006953,25.1880408,995.504110654859
362512,332158412,263019,115.5294874,25.1817209,313975,115.5191722,25.1931422,1689.39347038846
362513,332158433,314454,115.7581815,25.2657179,289778,115.7582419,25.2658778,18.7290062979073
362514,332158413,323486,115.7227257,25.1004682,281242,115.7247588,25.1019076,312.105929362576
362515,332158414,325576,115.75263,25.0926845,320458,115.7583174,25.0875243,871.666333491893
362516,332158415,322604,115.5164735,25.1946882,330073,115.5057005,25.1995434,1222.65048439566
362517,332158416,301870,115.758324,25.0889476,326907,115.7636186,25.0941447,861.65653581041
362518,332158417,277581,115.7375022,24.8802725,279875,115.7336342,24.8662513,1607.31776053843
362519,332158418,305296,115.7567912,25.0982473,261126,115.7525661,25.0928076,830.477561395235
362520,332158441,299079,115.7584397,25.2664014,270983,115.7591851,25.2685285,247.411216856249
362521,332158419,279875,115.7336342,24.8662513,335440,115.7299324,24.8564645,1156.38434666955
362522,332158420,303857,115.172137,25.1185067,291724,115.2644644,25.1498485,10299.0761963125
362523,332158421,265195,115.2630662,25.1494809,274441,115.1719631,25.1187165,10158.9234771938
362524,332158450,261853,115.7581892,25.0885846,320458,115.7583174,25.0875243,118.171198171587
362525,332158424,323121,115.7575796,25.2643836,331412,115.7564808,25.2577779,744.651965716579
362526,332158425,299493,115.7530054,25.1188142,330645,115.7466277,25.1291386,1352.21864504212
362527,332158426,329318,115.7525754,25.185849,303353,115.7487314,25.2031308,1992.13759572194
362528,332158428,295121,115.7531149,25.2338284,326486,115.7531943,25.2333933,48.8582428915213
362529,332158430,289778,115.7582419,25.2658778,299079,115.7584397,25.2664014,61.3295570983943
362530,332158431,329620,115.754684,25.2442537,314049,115.7538014,25.2422304,241.129202175569
362531,332158435,262454,115.7566502,25.2555949,304452,115.7566218,25.2577888,243.049891043767
362532,332158436,327538,115.7527496,25.183372,299503,115.7487157,25.1695098,1605.20504193091
362533,332158437,269296,115.75285,25.183381,329318,115.7525754,25.185849,274.851000323784
362534,332158438,314049,115.7538014,25.2422304,298258,115.7532923,25.240676,179.692086019437
362535,332158439,316212,115.7549443,25.1167918,299493,115.7530054,25.1188142,297.84829385388
362536,332158440,282775,115.7596763,25.2702928,302991,115.7590895,25.268613,195.245030200507
362537,332158442,328959,115.7547638,25.2442253,319778,115.7556317,25.2465182,268.681185206575
362538,332158448,331412,115.7564808,25.2577779,265071,115.7565441,25.2555993,241.422400854046
362539,332158449,302991,115.7590895,25.268613,287714,115.7583561,25.266442,251.737408769589
362540,332158450,316221,115.7548355,25.1167169,305296,115.7567912,25.0982473,2092.30662105603
362541,332158450,305296,115.7567912,25.0982473,261853,115.7581892,25.0885846,1086.2969158936
362543,332158450,320458,115.7583174,25.0875243,271705,115.7583632,25.0689918,2114.95315674842
362562,332261193,310447,115.7703415,25.3537457,265616,115.766983,25.3449523,1046.78480260317
362563,332261194,272964,115.7670761,25.3449374,335386,115.7704198,25.3536978,1042.80886434673
362564,332261195,302384,115.7667971,25.3436085,272964,115.7670761,25.3449374,149.868197023887
362565,332261196,265616,115.766983,25.3449523,308939,115.7666187,25.3433744,178.602305613653
362566,332261207,308282,115.7726736,25.3562223,310447,115.7703415,25.3537457,361.578552689768
362567,332261208,335386,115.7704198,25.3536978,313141,115.7727443,25.3561656,360.337428880582
362568,332261210,322521,115.7608936,25.3002656,328154,115.7621304,25.3281924,3132.69085053848
362569,332261210,266411,115.7619967,25.3342809,259625,115.7649341,25.3395781,660.707467104466
362570,332261211,327431,115.7648536,25.3396228,262480,115.7619955,25.334567,632.828266732878
362571,332261211,262480,115.7619955,25.334567,264080,115.7619509,25.3288362,639.89274083335
362573,332261211,264080,115.7619509,25.3288362,264276,115.7607992,25.3002621,3204.9048416285
362574,332261212,308939,115.7666187,25.3433744,281577,115.7656824,25.3410688,273.588763316815
362575,332261213,282378,115.7657675,25.3410316,302384,115.7667971,25.3436085,304.986763305228
362576,332261214,310407,115.790887,25.392571,316335,115.7871205,25.3877986,650.933271563777
362577,332261215,320065,115.7872006,25.3877531,310407,115.790887,25.392571,651.038980586917
362583,332261197,310407,115.790887,25.392571,309928,115.972664,25.794053,52076.800947898
362584,332261200,259625,115.7649341,25.3395781,282378,115.7657675,25.3410316,181.802547131493
362585,332261201,281577,115.7656824,25.3410688,327431,115.7648536,25.3396228,180.851723609184
