enter_RoadId,enter_StationId,exit_RoadId,exit_stationId,enter_lat,enter_lon,exit_lat,exit_lon,enter_time,exit_time
1,6,1,20,23.1476209071,113.5249257088,22.8248822268,113.702852726,Mon Jan 04 16:19:00 EST 2016,Mon Jan 04 17:04:00 EST 2016
25,7,1,61,22.8595,113.9813,23.15549,113.39893,Mon Jan 04 16:20:00 EST 2016,Mon Jan 04 17:34:00 EST 2016
1,14,1,30,23.0154620538,113.6782407761,22.6279945585,113.8518333435,Mon Jan 04 16:21:00 EST 2016,Mon Jan 04 16:57:00 EST 2016
75,4,1,61,22.7548,113.9214,23.15549,113.39893,Mon Jan 04 16:21:00 EST 2016,Mon Jan 04 17:44:00 EST 2016
63,3,1,13,22.86760882,113.8406492,23.0154620538,113.6782407761,Mon Jan 04 16:22:00 EST 2016,Mon Jan 04 17:00:00 EST 2016
1,11,1,61,23.0436023367,113.6457753181,23.15549,113.39893,Mon Jan 04 16:24:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
35,19,1,60,22.839945,115.34814,23.1443259191,113.398604393,Mon Jan 04 16:24:00 EST 2016,Mon Jan 04 19:08:00 EST 2016
25,19,1,9,23.1845,113.7705,23.08033,113.59615,Mon Jan 04 16:24:00 EST 2016,Mon Jan 04 17:30:00 EST 2016
25,4,1,19,22.7774,114.0372,22.8277697001,113.6984324455,Mon Jan 04 16:25:00 EST 2016,Mon Jan 04 17:12:00 EST 2016
32,6,1,28,23.1691251255,113.3222150803,22.6476604205,113.8329291344,Mon Jan 04 16:25:00 EST 2016,Mon Jan 04 18:05:00 EST 2016
48,9,1,23,22.686845113,113.9702153206,22.8065,113.78397,Mon Jan 04 16:25:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
40,1,1,36,23.075,113.361,22.56433,113.92952,Mon Jan 04 16:25:00 EST 2016,Mon Jan 04 18:07:00 EST 2016
37,4,1,26,22.7679,113.5767,22.73383,113.84667,Mon Jan 04 16:26:00 EST 2016,Mon Jan 04 17:01:00 EST 2016
1,6,1,12,23.1476209071,113.5249257088,23.0436023367,113.6457753181,Mon Jan 04 16:27:00 EST 2016,Mon Jan 04 16:51:00 EST 2016
1,24,1,38,22.8021,113.78758,22.5308320943,114.0147185326,Mon Jan 04 16:28:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
1,40,1,25,22.5170962329,114.0595436096,22.73598,113.84722,Mon Jan 04 16:28:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
1,20,1,40,22.8248822268,113.702852726,22.5170962329,114.0595436096,Mon Jan 04 16:28:00 EST 2016,Mon Jan 04 17:05:00 EST 2016
1,35,1,19,22.564249,113.930897,22.8277697001,113.6984324455,Mon Jan 04 16:29:00 EST 2016,Mon Jan 04 17:00:00 EST 2016
1,8,1,36,23.1199760132,113.5650086403,22.56433,113.92952,Mon Jan 04 16:29:00 EST 2016,Mon Jan 04 17:27:00 EST 2016
1,37,1,25,22.5373526817,114.0117573738,22.73598,113.84722,Mon Jan 04 16:30:00 EST 2016,Mon Jan 04 16:52:00 EST 2016
30,5,1,6,23.127770832,113.3465909958,23.1476209071,113.5249257088,Mon Jan 04 16:30:00 EST 2016,Mon Jan 04 17:12:00 EST 2016
22,3,1,62,22.5901,112.8883,23.1399,113.3999,Mon Jan 04 16:30:00 EST 2016,Mon Jan 04 18:09:00 EST 2016
1,24,1,36,22.8021,113.78758,22.56433,113.92952,Mon Jan 04 16:30:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
1,9,1,60,23.08033,113.59615,23.1443259191,113.398604393,Mon Jan 04 16:31:00 EST 2016,Mon Jan 04 17:02:00 EST 2016
1,16,1,30,22.9752063091,113.6992263794,22.6279945585,113.8518333435,Mon Jan 04 16:31:00 EST 2016,Mon Jan 04 17:04:00 EST 2016
1,16,1,34,22.9752063091,113.6992263794,22.590643,113.899411,Mon Jan 04 16:31:00 EST 2016,Mon Jan 04 17:09:00 EST 2016
60,3,1,60,23.1845,113.7703,23.1443259191,113.398604393,Mon Jan 04 16:31:00 EST 2016,Mon Jan 04 17:28:00 EST 2016
30,5,1,60,23.127770832,113.3465909958,23.1443259191,113.398604393,Mon Jan 04 16:32:00 EST 2016,Mon Jan 04 17:11:00 EST 2016
1,26,1,38,22.73383,113.84667,22.5308320943,114.0147185326,Mon Jan 04 16:32:00 EST 2016,Mon Jan 04 16:58:00 EST 2016
1,23,1,13,22.8065,113.78397,23.0154620538,113.6782407761,Mon Jan 04 16:32:00 EST 2016,Mon Jan 04 17:07:00 EST 2016
1,52,1,40,22.54734,113.98984,22.5170962329,114.0595436096,Mon Jan 04 16:33:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
74,9,1,14,24.94934709,113.8050279,23.0154620538,113.6782407761,Mon Jan 04 16:33:00 EST 2016,Mon Jan 04 20:06:00 EST 2016
1,19,1,13,22.8277697001,113.6984324455,23.0154620538,113.6782407761,Mon Jan 04 16:33:00 EST 2016,Mon Jan 04 16:52:00 EST 2016
63,9,1,19,22.91744326,113.9836809,22.8277697001,113.6984324455,Mon Jan 04 16:33:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
1,9,1,60,23.08033,113.59615,23.1443259191,113.398604393,Mon Jan 04 16:33:00 EST 2016,Mon Jan 04 17:05:00 EST 2016
1,23,1,15,22.8065,113.78397,22.9752063091,113.6992263794,Mon Jan 04 16:33:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
30,9,1,10,23.167538,113.348792,23.08033,113.59615,Mon Jan 04 16:34:00 EST 2016,Mon Jan 04 17:24:00 EST 2016
29,5,1,20,23.2943923778,113.3253479004,22.8248822268,113.702852726,Mon Jan 04 16:35:00 EST 2016,Mon Jan 04 17:35:00 EST 2016
1,40,1,29,22.5170962329,114.0595436096,22.6279945585,113.8518333435,Mon Jan 04 16:35:00 EST 2016,Mon Jan 04 16:57:00 EST 2016
1,40,1,29,22.5170962329,114.0595436096,22.6279945585,113.8518333435,Mon Jan 04 16:35:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
52,17,1,14,23.8532,113.5309,23.0154620538,113.6782407761,Mon Jan 04 16:36:00 EST 2016,Mon Jan 04 17:55:00 EST 2016
1,8,1,18,23.1199760132,113.5650086403,22.9285,113.6815,Mon Jan 04 16:36:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
1,23,1,17,22.8065,113.78397,22.92997,113.68343,Mon Jan 04 16:36:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
1,29,1,17,22.6279945585,113.8518333435,22.92997,113.68343,Mon Jan 04 16:36:00 EST 2016,Mon Jan 04 17:07:00 EST 2016
6,11,1,15,22.5213,113.4651,22.9752063091,113.6992263794,Mon Jan 04 16:36:00 EST 2016,Mon Jan 04 17:59:00 EST 2016
30,5,1,16,23.127770832,113.3465909958,22.9752063091,113.6992263794,Mon Jan 04 16:37:00 EST 2016,Mon Jan 04 17:29:00 EST 2016
1,13,1,60,23.0154620538,113.6782407761,23.1443259191,113.398604393,Mon Jan 04 16:37:00 EST 2016,Mon Jan 04 17:26:00 EST 2016
25,4,1,24,22.7774,114.0372,22.8021,113.78758,Mon Jan 04 16:37:00 EST 2016,Mon Jan 04 17:10:00 EST 2016
8,7,1,14,23.06446636,112.6575424,23.0154620538,113.6782407761,Mon Jan 04 16:37:00 EST 2016,Mon Jan 04 18:25:00 EST 2016
1,23,1,15,22.8065,113.78397,22.9752063091,113.6992263794,Mon Jan 04 16:37:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
1,16,1,20,22.9752063091,113.6992263794,22.8248822268,113.702852726,Mon Jan 04 16:38:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
1,23,1,15,22.8065,113.78397,22.9752063091,113.6992263794,Mon Jan 04 16:38:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
1,16,1,20,22.9752063091,113.6992263794,22.8248822268,113.702852726,Mon Jan 04 16:38:00 EST 2016,Mon Jan 04 16:52:00 EST 2016
1,10,1,20,23.08033,113.59615,22.8248822268,113.702852726,Mon Jan 04 16:38:00 EST 2016,Mon Jan 04 17:02:00 EST 2016
1,28,1,36,22.6476604205,113.8329291344,22.56433,113.92952,Mon Jan 04 16:38:00 EST 2016,Mon Jan 04 16:51:00 EST 2016
3,17,1,14,23.4309,113.1844,23.0154620538,113.6782407761,Mon Jan 04 16:39:00 EST 2016,Mon Jan 04 17:40:00 EST 2016
106,1,1,60,22.5344,113.8782,23.1443259191,113.398604393,Mon Jan 04 16:39:00 EST 2016,Mon Jan 04 17:50:00 EST 2016
1,23,1,15,22.8065,113.78397,22.9752063091,113.6992263794,Mon Jan 04 16:39:00 EST 2016,Mon Jan 04 16:58:00 EST 2016
1,16,1,20,22.9752063091,113.6992263794,22.8248822268,113.702852726,Mon Jan 04 16:40:00 EST 2016,Mon Jan 04 16:52:00 EST 2016
85,11,1,14,23.27277275,111.393402,23.0154620538,113.6782407761,Mon Jan 04 16:40:00 EST 2016,Mon Jan 04 20:10:00 EST 2016
1,13,1,60,23.0154620538,113.6782407761,23.1443259191,113.398604393,Mon Jan 04 16:40:00 EST 2016,Mon Jan 04 17:25:00 EST 2016
48,7,1,19,22.6789655132,113.9478349686,22.8277697001,113.6984324455,Mon Jan 04 16:41:00 EST 2016,Mon Jan 04 17:09:00 EST 2016
1,11,1,60,23.0436023367,113.6457753181,23.1443259191,113.398604393,Mon Jan 04 16:41:00 EST 2016,Mon Jan 04 17:29:00 EST 2016
1,25,1,7,22.73598,113.84722,23.1199760132,113.5650086403,Mon Jan 04 16:41:00 EST 2016,Mon Jan 04 17:21:00 EST 2016
1,14,1,30,23.0154620538,113.6782407761,22.6279945585,113.8518333435,Mon Jan 04 16:41:00 EST 2016,Mon Jan 04 17:19:00 EST 2016
1,7,1,60,23.1199760132,113.5650086403,23.1443259191,113.398604393,Mon Jan 04 16:42:00 EST 2016,Mon Jan 04 17:07:00 EST 2016
4,15,1,14,23.07396711,113.1010609,23.0154620538,113.6782407761,Mon Jan 04 16:42:00 EST 2016,Mon Jan 04 17:54:00 EST 2016
1,16,1,20,22.9752063091,113.6992263794,22.8248822268,113.702852726,Mon Jan 04 16:42:00 EST 2016,Mon Jan 04 16:56:00 EST 2016
1,29,1,36,22.6279945585,113.8518333435,22.56433,113.92952,Mon Jan 04 16:42:00 EST 2016,Mon Jan 04 16:51:00 EST 2016
1,35,1,27,22.564249,113.930897,22.6476604205,113.8329291344,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
63,3,1,24,22.86760882,113.8406492,22.8021,113.78758,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
19,7,1,61,22.86929111,114.3361277,23.15549,113.39893,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 19:08:00 EST 2016
1,29,1,36,22.6279945585,113.8518333435,22.56433,113.92952,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 16:52:00 EST 2016
1,35,1,29,22.564249,113.930897,22.6279945585,113.8518333435,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
1,19,1,15,22.8277697001,113.6984324455,22.9752063091,113.6992263794,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 16:57:00 EST 2016
1,12,1,24,23.0436023367,113.6457753181,22.8021,113.78758,Mon Jan 04 16:43:00 EST 2016,Mon Jan 04 17:10:00 EST 2016
1,62,1,6,23.1399,113.3999,23.1476209071,113.5249257088,Mon Jan 04 16:44:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
1,11,1,60,23.0436023367,113.6457753181,23.1443259191,113.398604393,Mon Jan 04 16:44:00 EST 2016,Mon Jan 04 17:30:00 EST 2016
1,40,1,35,22.5170962329,114.0595436096,22.564249,113.930897,Mon Jan 04 16:45:00 EST 2016,Mon Jan 04 16:59:00 EST 2016
1,60,1,12,23.1443259191,113.398604393,23.0436023367,113.6457753181,Mon Jan 04 16:45:00 EST 2016,Mon Jan 04 17:09:00 EST 2016
1,37,1,23,22.5373526817,114.0117573738,22.8065,113.78397,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 17:16:00 EST 2016
55,15,1,15,22.2149801909,113.2300329208,22.9752063091,113.6992263794,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 18:24:00 EST 2016
1,11,1,60,23.0436023367,113.6457753181,23.1443259191,113.398604393,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 17:27:00 EST 2016
1,20,1,40,22.8248822268,113.702852726,22.5170962329,114.0595436096,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 17:31:00 EST 2016
49,6,1,27,22.6652444258,114.1152477264,22.6476604205,113.8329291344,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 17:15:00 EST 2016
1,25,1,23,22.73598,113.84722,22.8065,113.78397,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
1,29,1,36,22.6279945585,113.8518333435,22.56433,113.92952,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 16:54:00 EST 2016
1,33,1,27,22.590881,113.89924,22.6476604205,113.8329291344,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
1,10,1,12,23.08033,113.59615,23.0436023367,113.6457753181,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 16:53:00 EST 2016
1,28,1,36,22.6476604205,113.8329291344,22.56433,113.92952,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 16:58:00 EST 2016
26,11,1,15,22.5938,113.3922,22.9752063091,113.6992263794,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 18:07:00 EST 2016
1,35,1,33,22.564249,113.930897,22.590881,113.89924,Mon Jan 04 16:46:00 EST 2016,Mon Jan 04 16:55:00 EST 2016
1,28,1,36,22.6476604205,113.8329291344,22.56433,113.92952,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 16:58:00 EST 2016
37,4,1,11,22.7679,113.5767,23.0436023367,113.6457753181,Mon Jan 04 16:47:00 EST 2016,Mon Jan 04 17:22:00 EST 2016
